No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
32,BCS323Lec3,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,7:00:00 PM,8:59:00 PM,24,22
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,T,5:00:00 PM,6:59:00 PM,24,22
33,BCS323Lec4,System-Level Programming,3,"Elgazzar, Khalid",MGT-204,M,7:00:00 PM,8:59:00 PM,24,21
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,R,3:00:00 PM,4:59:00 PM,24,21
34,BCS403Lec1,Advanced Database Systems,3,"Hussein, Ahmed",MGT-106,W,9:00:00 AM,11:59:00 AM,32,27
35,BCS405Lec1,Artificial Intelligence,3,"Kolankeh , Arash",MGT-105,T,3:00:00 PM,4:59:00 PM,20,11
,,,,"Yousefi, Adel",HUB-115 Networking Lab,W,7:00:00 PM,8:59:00 PM,20,11
36,BCS405Lec2,Artificial Intelligence,3,"Kolankeh , Arash",MGT-105,T,3:00:00 PM,4:59:00 PM,20,22
,,,,"Kolankeh , Arash",HUB-118 Robotic Lab,R,10:00:00 AM,11:59:00 AM,20,22
37,BCS410Prj1,Computer Science Project,6,"Zgheib, Rita",,N\A,12:00:00 AM,12:00:00 AM,21,7
38,BSD312Lec1,Software Quality,3,"Oguz, Kaya",MGT-205,M,9:00:00 AM,11:59:00 AM,20,11
39,BSD313Lec1,Advanced User Interface Design,3,"Oguz, Kaya",HUB-119,R,6:00:00 PM,8:59:00 PM,21,9
40,BSD410Prj1,Software Design Project,6,"Zgheib, Rita",,N\A,12:00:00 AM,12:00:00 AM,10,0
41,BUS310Lec1,Project Management,3,"Mohamed, Tamer",MGT-104,W,9:00:00 AM,11:59:00 AM,45,47
42,COM411LecT1,Digital Filter Design,3,"Sulaiman, Amr",MGT-106,W,12:00:00 PM,2:59:00 PM,32,22
43,CYS311Lec1,Security Threats And Risk Analysis,3,"Satrya, Gandeva",MGT-207,R,3:00:00 PM,5:59:00 PM,35,30
