No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
55,LNG181LecENG-5,English I For Engineering & Computing,3,"Dukhan, Rola",MGT-211,TR,10:30:00 AM,11:59:00 AM,30,17
56,MEC305Lec1,Mechanical Vibrations,3,"Majeed, Salih",MGT-209,M,5:00:00 PM,6:59:00 PM,20,11
,,,,"Majeed, Salih",HUB-104 Mechatronics Lab,W,3:00:00 PM,4:59:00 PM,20,11
57,MEC305Lec2,Mechanical Vibrations,3,"Majeed, Salih",MGT-209,M,5:00:00 PM,6:59:00 PM,20,15
,,,,"Yousefi, Adel",HUB-104 Mechatronics Lab,T,1:00:00 PM,2:59:00 PM,20,15
58,MEC306Lec1,Electro-Pneumatic & Hydraulic Control Circuits,3,"Majeed, Salih",MGT-203,M,1:00:00 PM,2:59:00 PM,18,17
,,,,"Majeed, Salih",HUB-104 Mechatronics Lab,T,3:00:00 PM,4:59:00 PM,18,17
59,MEC306Lec2,Electro-Pneumatic & Hydraulic Control Circuits,3,"Majeed, Salih",MGT-203,M,1:00:00 PM,2:59:00 PM,18,18
,,,,"Sadek, Zeyad Remah",HUB-104 Mechatronics Lab,W,11:00:00 AM,12:59:00 PM,18,18
60,MEC411Lec1,Intelligent Systems,3,"Majeed, Salih",MGT-105,R,9:00:00 AM,11:59:00 AM,32,24
61,MEC412Lec1,Sensors And Actuators,3,"Majeed, Salih",HUB-118 Robotic Lab,T,7:00:00 PM,8:59:00 PM,24,16
,,,,"Majeed, Salih",MGT-103,W,9:00:00 AM,10:59:00 AM,24,16
62,MEC413Lec1,Industrial Automation,3,"Hamza, Djilali",MGT-205,R,3:00:00 PM,5:59:00 PM,24,21
63,MTH112Lec1,Calculus 1,3,"Sadek, Zeyad Remah",HUB-114,M,9:00:00 AM,9:59:00 AM,32,25
,,,,"El Sayed, Ahmed Abdelaziz",MGT-105,MW,12:00:00 PM,1:29:00 PM,32,25
64,MTH112Lec2,Calculus 1,3,"El Sayed, Ahmed Abdelaziz",MGT-105,MW,1:30:00 PM,2:59:00 PM,32,27
,,,,"Sadek, Zeyad Remah",MGT-204,M,5:00:00 PM,5:59:00 PM,32,27
65,MTH112Lec3,Calculus 1,3,"El Sayed, Ahmed Abdelaziz",MGT-208,TR,4:30:00 PM,5:59:00 PM,40,31
,,,,"Yousefi, Adel",HUB-114,R,9:00:00 AM,9:59:00 AM,40,31
66,MTH112Lec4,Calculus 1,3,"El Sayed, Ahmed Abdelaziz",MGT-208,TR,3:00:00 PM,4:29:00 PM,40,41
,,,,"Yousefi, Adel",MGT-203,R,5:00:00 PM,5:59:00 PM,40,41
67,MTH112LecAR/ID,Calculus 1,3,"Hamid, Abdulazim",MGT-202,M,3:00:00 PM,4:29:00 PM,40,14
,,,,"Hamid, Abdulazim",MGT-202,M,5:00:00 PM,5:29:00 PM,40,14
,,,,"Hamid, Abdulazim",MGT-210,R,3:00:00 PM,4:29:00 PM,40,14
68,MTH114Lec1,Linear Algebra,3,"Rani, Rashmi",MGT-204,TW,3:00:00 PM,4:29:00 PM,40,39
69,MTH114Lec2,Linear Algebra,3,"Rani, Rashmi",MGT-203,MR,9:00:00 AM,10:29:00 AM,40,19
70,MTH114Lec3,Linear Algebra,3,"Rani, Rashmi",HUB-114,MR,3:00:00 PM,4:29:00 PM,40,37
71,MTH130Lec1,Probability And Statistics,3,"Elobaid, Rafida",MGT-204,M,10:30:00 AM,11:59:00 AM,40,37
,,,,"Elobaid, Rafida",MGT-203,R,10:30:00 AM,11:59:00 AM,40,37
72,MTH130Lec2,Probability And Statistics,3,"Elobaid, Rafida",HUB-114,M,1:30:00 PM,2:59:00 PM,40,43
,,,,"Elobaid, Rafida",HUB-114,T,12:00:00 PM,1:29:00 PM,40,43
73,MTH130Lec3,Probability And Statistics,3,"Elobaid, Rafida",HUB-114,TW,9:00:00 AM,10:29:00 AM,40,22
74,MTH130Lec4,Probability And Statistics,3,"Elobaid, Rafida",HUB-114,TW,3:00:00 PM,4:29:00 PM,40,39
75,MTH203Lec1,Discrete Mathematics For Computing Science,3,"Mohamed, Tamer",HUB-114,TW,1:30:00 PM,2:59:00 PM,40,39
76,MTH203Lec2,Discrete Mathematics For Computing Science,3,"Rani, Rashmi",MGT-204,TW,4:30:00 PM,5:59:00 PM,40,21
77,MTH203Lec3,Discrete Mathematics For Computing Science,3,"Mohamed, Tamer",HUB-114,MW,12:00:00 PM,1:29:00 PM,40,38
78,MTH212Lec1,Calculus 3,3,"Kamalov, Firuz",HUB-114,M,4:30:00 PM,5:59:00 PM,40,34
,,,,"Kamalov, Firuz",HUB-114,W,10:30:00 AM,11:59:00 AM,40,34
79,NET100Lec1,Fundamental Of Digital Systems,3,"Yousefi, Adel",HUB-115 Networking Lab,M,5:00:00 PM,6:59:00 PM,20,15
,,,,"Al Gindy, Ahmed",MGT-102,W,9:00:00 AM,10:59:00 AM,20,15
80,NET105Lec1,Microprocessors And Microcontrollers,3,"El Khatib, Ziad",HUB-115 Networking Lab,M,3:00:00 PM,4:59:00 PM,24,24
,,,,"Yousefi, Adel",HUB-115 Networking Lab,T,7:00:00 PM,8:59:00 PM,24,24
81,NET120Lec1,LAN Switching And Routing,3,"Faheem, Yasir",MGT-206,M,5:00:00 PM,6:59:00 PM,24,22
,,,,"Faheem, Yasir",HUB-115 Networking Lab,T,5:00:00 PM,6:59:00 PM,24,22
82,NET121Lec1,Network Operating System 1,4,"Satrya, Gandeva",HUB-115 Networking Lab,M,9:00:00 AM,11:59:00 AM,24,23
,,,,"Satrya, Gandeva",HUB-115 Networking Lab,W,3:00:00 PM,4:59:00 PM,24,23
83,NET121LecCN1,Network Operating Systems,3,"Satrya, Gandeva",HUB-115 Networking Lab,M,9:00:00 AM,10:59:00 AM,24,23
,,,,"Satrya, Gandeva",HUB-115 Networking Lab,W,3:00:00 PM,4:59:00 PM,24,23
84,NET220LecC1,Network Security And Administration,3,"Seyam, Ahmed",HUB-115 Networking Lab,T,9:00:00 AM,10:59:00 AM,20,9
,,,,"Faheem, Yasir",MGT-101,W,9:00:00 AM,10:59:00 AM,20,9
85,NET220LecC2,Network Security And Administration,3,"Seyam, Ahmed",HUB-115 Networking Lab,T,3:00:00 PM,4:59:00 PM,20,9
,,,,"Faheem, Yasir",MGT-101,W,9:00:00 AM,10:59:00 AM,20,9
86,NET221Lec1,Communication Technology,3,"Faheem, Yasir",HUB-115 Networking Lab,R,9:00:00 AM,11:59:00 AM,24,22
87,NET410Lec1,Enterprise Network Design,3,"Faheem, Yasir",HUB-115 Networking Lab,T,1:00:00 PM,2:59:00 PM,24,6
,,,,"Faheem, Yasir",HUB-115 Networking Lab,R,5:00:00 PM,6:59:00 PM,24,6
88,NET411Prj1,Network Design Project,2,"Faheem, Yasir",,N\A,12:00:00 AM,12:00:00 AM,24,1
89,NET412Prj1,Applied Research Project,2,"Satrya, Gandeva",,,12:00:00 PM,12:00:00 PM,20,1
,,,,"Ibrahim, Rami Fa'eq",,,12:00:00 PM,12:00:00 PM,20,1
90,NET440Prj1,CNET Project 1,2,"Moussa, Sherif",,N\A,12:00:00 AM,12:00:00 AM,10,2
91,SCI210Lec1,Modern Physics,3,"El Khatib, Ziad",MGT-203,T,9:00:00 AM,10:59:00 AM,20,19
,,,,"El Khatib, Ziad",HUB-116 Electronic Lab,R,5:00:00 PM,6:59:00 PM,20,19
92,SCI210Lec2,Modern Physics,3,"El Khatib, Ziad",MGT-203,T,9:00:00 AM,10:59:00 AM,20,20
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,7:00:00 PM,8:59:00 PM,20,20
93,SCI210Lec3,Modern Physics,3,"El Khatib, Ziad",MGT-209,W,9:00:00 AM,10:59:00 AM,19,19
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,1:00:00 PM,2:59:00 PM,19,19
94,SCI210Lec4,Modern Physics,3,"El Khatib, Ziad",HUB-116 Electronic Lab,M,1:00:00 PM,2:59:00 PM,19,19
,,,,"El Khatib, Ziad",MGT-209,W,9:00:00 AM,10:59:00 AM,19,19
95,SWS110Lec1,Programming 1,3,"Zgheib, Rita",MGT-203,M,11:00:00 AM,12:59:00 PM,20,10
,,,,"Zgheib, Rita",HUB-117 Software Lab,T,9:00:00 AM,10:59:00 AM,20,10
96,SWS110Lec2,Programming 1,3,"Zgheib, Rita",MGT-203,M,11:00:00 AM,12:59:00 PM,20,19
,,,,"Yousefi, Adel",HUB-117 Software Lab,W,1:00:00 PM,2:59:00 PM,20,19
97,SWS315Lec1,Mobile Application Development,3,"Seyam, Ahmed",HUB-119,M,12:00:00 PM,1:59:00 PM,24,11
,,,,"Oguz, Kaya",MGT-206,W,1:00:00 PM,2:59:00 PM,24,11
