No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
1,BCS101Lec1,Elements Of Computing,3,"Seyam, Ahmed",HUB-118 Robotic Lab,M,5:00:00 PM,6:59:00 PM,20,20
,,,,"Kolankeh , Arash",MGT-203,T,11:00:00 AM,12:59:00 PM,20,20
2,BCS101Lec2,Elements Of Computing,3,"Kolankeh , Arash",MGT-203,T,11:00:00 AM,12:59:00 PM,20,19
,,,,"Kolankeh , Arash",HUB-118 Robotic Lab,W,7:00:00 PM,8:59:00 PM,20,19
3,BCS101Lec3,Elements Of Computing,3,"Mohamed, Tamer",MGT-204,M,3:00:00 PM,4:59:00 PM,20,17
,,,,"Mohamed, Tamer",HUB-117 Software Lab,T,3:00:00 PM,4:59:00 PM,20,17
4,BCS101Lec4,Elements Of Computing,3,"Mohamed, Tamer",MGT-204,M,3:00:00 PM,4:59:00 PM,20,20
,,,,"Sadek, Zeyad Remah",HUB-117 Software Lab,T,5:00:00 PM,6:59:00 PM,20,20
5,BCS101Lec5,Elements Of Computing,3,"Zgheib, Rita",HUB-117 Software Lab,M,9:00:00 AM,10:59:00 AM,20,18
,,,,"Zgheib, Rita",HUB-114,R,10:00:00 AM,11:59:00 AM,20,18
6,BCS101Lec6,Elements Of Computing,3,"Yousefi, Adel",HUB-117 Software Lab,M,11:00:00 AM,12:59:00 PM,20,10
,,,,"Zgheib, Rita",HUB-114,R,10:00:00 AM,11:59:00 AM,20,10
7,BCS201Lec1,Logic For Computing Science,3,"El Messiry, Haytham",MGT-204,T,9:00:00 AM,11:59:00 AM,40,38
8,BCS201Lec2,Logic For Computing Science,3,"El Messiry, Haytham",MGT-206,W,6:00:00 PM,8:59:00 PM,32,22
9,BCS201Lec3,Logic For Computing Science,3,"El Messiry, Haytham",MGT-203,M,3:00:00 PM,5:59:00 PM,40,40
10,BCS202Lec1,Introduction To Computing Science II,3,"Elnaffar, Said Selim",HUB-114,M,10:00:00 AM,11:59:00 AM,20,22
,,,,"Elnaffar, Said Selim",HUB-117 Software Lab,R,10:00:00 AM,11:59:00 AM,20,22
11,BCS202Lec2,Introduction To Computing Science II,3,"Elnaffar, Said Selim",HUB-114,M,10:00:00 AM,11:59:00 AM,20,22
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,R,10:00:00 AM,11:59:00 AM,20,22
12,BCS202Lec3,Introduction To Computing Science II,3,"Elnaffar, Said Selim",HUB-117 Software Lab,M,3:00:00 PM,4:59:00 PM,20,22
,,,,"Elnaffar, Said Selim",MGT-203,R,3:00:00 PM,4:59:00 PM,20,22
13,BCS202Lec4,Introduction To Computing Science II,3,"Yousefi, Adel",HUB-117 Software Lab,M,7:00:00 PM,8:59:00 PM,20,16
,,,,"Elnaffar, Said Selim",MGT-203,R,3:00:00 PM,4:59:00 PM,20,16
14,BCS301Lec1,Operating Systems,4,"Seyam, Ahmed",HUB-118 Robotic Lab,W,3:00:00 PM,4:59:00 PM,20,24
,,,,"El Messiry, Haytham",MGT-201,R,9:00:00 AM,11:59:00 AM,20,24
15,BCS301Lec2,Operating Systems,4,"Seyam, Ahmed",HUB-118 Robotic Lab,T,5:00:00 PM,6:59:00 PM,20,21
,,,,"El Messiry, Haytham",MGT-201,R,9:00:00 AM,11:59:00 AM,20,21
16,BCS301Lec3,Operating Systems,4,"Elnaffar, Said Selim",MGT-208,T,12:00:00 PM,2:59:00 PM,19,22
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,R,3:00:00 PM,4:59:00 PM,19,22
17,BCS301Lec4,Operating Systems,4,"Elnaffar, Said Selim",MGT-208,T,12:00:00 PM,2:59:00 PM,20,22
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,W,9:00:00 AM,10:59:00 AM,20,22
18,BCS303Lec1,Security Principles And Practices,4,"Seyam, Ahmed",HUB-118 Robotic Lab,M,3:00:00 PM,4:59:00 PM,20,19
,,,,"Satrya, Gandeva",MGT-204,T,6:00:00 PM,8:59:00 PM,20,19
19,BCS303Lec2,Security Principles And Practices,4,"Seyam, Ahmed",HUB-115 Networking Lab,M,7:00:00 PM,8:59:00 PM,20,16
,,,,"Satrya, Gandeva",MGT-204,T,6:00:00 PM,8:59:00 PM,20,16
20,BCS303Lec3,Security Principles And Practices,4,"Faheem, Yasir",MGT-103,M,12:00:00 PM,2:59:00 PM,20,20
,,,,"Faheem, Yasir",HUB-115 Networking Lab,W,1:00:00 PM,2:59:00 PM,20,20
21,BCS303Lec4,Security Principles And Practices,4,"Faheem, Yasir",MGT-103,M,12:00:00 PM,2:59:00 PM,19,15
,,,,"Seyam, Ahmed",HUB-115 Networking Lab,R,3:00:00 PM,4:59:00 PM,19,15
22,BCS304Lec1,Data Mining,3,"Elnaffar, Said Selim",MGT-210,W,3:00:00 PM,5:59:00 PM,40,40
23,BCS305Lec1,Software Architecture,3,"Zgheib, Rita",MGT-203,T,3:00:00 PM,5:59:00 PM,40,19
24,BCS305Lec2,Software Architecture,3,"Zgheib, Rita",MGT-107,W,12:00:00 PM,2:59:00 PM,35,34
25,BCS306Lec1,Database Management Systems,3,"Yousefi, Adel",HUB-118 Robotic Lab,T,3:00:00 PM,4:59:00 PM,24,22
,,,,"Kolankeh , Arash",MGT-101,W,11:00:00 AM,12:59:00 PM,24,22
26,BCS306Lec2,Database Management Systems,3,"Kolankeh , Arash",MGT-101,W,11:00:00 AM,12:59:00 PM,16,16
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,R,5:00:00 PM,6:59:00 PM,16,16
27,BCS311Lec1,Scientific Computing,3,"Kolankeh , Arash",HUB-119,M,9:00:00 AM,10:59:00 AM,20,23
,,,,"Kolankeh , Arash",HUB-114,R,6:00:00 PM,7:59:00 PM,20,23
28,BCS311Lec2,Scientific Computing,3,"Al Gindy, Ahmed",HUB-114,M,6:00:00 PM,7:59:00 PM,20,23
,,,,"Al Gindy, Ahmed",HUB-118 Robotic Lab,T,9:00:00 AM,10:59:00 AM,20,23
29,BCS311Lec3,Scientific Computing,3,"Al Gindy, Ahmed",HUB-114,M,6:00:00 PM,7:59:00 PM,20,18
,,,,"Sadek, Zeyad Remah",HUB-119,T,9:00:00 AM,10:59:00 AM,20,18
30,BCS311Lec4,Scientific Computing,3,"Kolankeh , Arash",HUB-117 Software Lab,M,5:00:00 PM,6:59:00 PM,20,19
,,,,"Kolankeh , Arash",MGT-203,W,9:00:00 AM,10:59:00 AM,20,19
31,BCS311Lec5,Scientific Computing,3,"Kolankeh , Arash",MGT-203,W,9:00:00 AM,10:59:00 AM,20,15
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,R,7:00:00 PM,8:59:00 PM,20,15
32,BCS401Lec1,Ethics For Computing Professionals,3,"Oguz, Kaya",HUB-112,W,6:00:00 PM,8:59:00 PM,40,42
33,BCS401Lec2,Ethics For Computing Professionals,3,"Oguz, Kaya",MGT-101,M,9:00:00 AM,11:59:00 AM,40,32
34,BCS402Lec1,Computability And Complexity,3,"Kolankeh , Arash",MGT-107,T,3:00:00 PM,5:59:00 PM,40,15
35,BCS410Prj1,Computer Science Project,6,"Zgheib, Rita",,N\A,12:00:00 AM,12:00:00 AM,25,24
36,BSD310Lec1,Game Design,3,"Oguz, Kaya",HUB-115 Networking Lab,M,1:00:00 PM,2:29:00 PM,24,13
,,,,"Oguz, Kaya",MGT-203,T,1:00:00 PM,2:29:00 PM,24,13
37,BSD311Lec35,Human Computer Interaction,3,"El Messiry, Haytham",MGT-206,R,3:00:00 PM,5:59:00 PM,35,17
38,BSD410Prj1,Software Design Project,6,"Zgheib, Rita",,,TB/A,TB/A,10,1
39,BUS311Lec1,Engineering Economy,3,"Ouzan, Samuel",MGT-203,W,6:00:00 PM,8:59:00 PM,40,39
40,CYS411Lec1,Engineering Secure Software,3,"Satrya, Gandeva",MGT-107,R,6:00:00 PM,8:59:00 PM,21,10
41,ELC320Lec1,Power Electronics,3,"Hamza, Djilali",MGT-206,M,7:00:00 PM,8:59:00 PM,14,19
,,,,"Hamza, Djilali",HUB-116 Electronic Lab,T,11:00:00 AM,12:59:00 PM,14,19
42,ENG101LecEE1,Digital Logic,4,"Sadek, Zeyad Remah",HUB-118 Robotic Lab,M,1:00:00 PM,2:59:00 PM,30,30
,,,,"Al Gindy, Ahmed",MGT-106,T,12:00:00 PM,2:59:00 PM,30,30
43,ENG221LecEE1,Electric Circuit,4,"Hamza, Djilali",MGT-206,T,3:00:00 PM,5:59:00 PM,24,23
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,W,3:00:00 PM,4:59:00 PM,24,23
44,ENG301Lec1,Electronics 2,3,"El Khatib, Ziad",MGT-203,W,1:00:00 PM,2:59:00 PM,18,19
,,,,"El Khatib, Ziad",HUB-116 Electronic Lab,R,10:00:00 AM,11:59:00 AM,18,19
45,ENG301Lec2,Electronics 2,3,"El Khatib, Ziad",MGT-203,W,1:00:00 PM,2:59:00 PM,14,14
,,,,"Sadek, Zeyad Remah",HUB-116 Electronic Lab,R,7:00:00 PM,8:59:00 PM,14,14
46,ENG320Int1,Internship,2,"Majeed, Salih",,N\A,12:00:00 AM,12:00:00 AM,10,6
47,ENG400PrjEECENT,Graduation Project-1,2,"Moussa, Sherif",,,TB/A,TB/A,10,4
48,ENG400PrjEEEE,Graduation Project-1,2,"Al Gindy, Ahmed",,,TB/A,TB/A,10,19
49,ENG401Prj1,Graduation Project 2,2,"Satrya, Gandeva",,N\A,12:00:00 AM,12:00:00 AM,10,1
50,ENG410Lec1,Professional And Ethical Practice,3,"Hamza, Djilali",HUB-112,W,3:00:00 PM,5:59:00 PM,50,14
51,LNG181LecENG-1,English I For Engineering & Computing,3,"McClung, Robert John",MGT-211,MW,3:00:00 PM,4:29:00 PM,30,33
52,LNG181LecENG-2,English I For Engineering & Computing,3,"Ahmad, Sadaf",MGT-211,MW,1:30:00 PM,2:59:00 PM,30,30
53,LNG181LecENG-3,English I For Engineering & Computing,3,"Moghddam Rad, Laaya",MGT-211,MW,10:30:00 AM,11:59:00 AM,30,24
54,LNG181LecENG-4,English I For Engineering & Computing,3,"Moghddam Rad, Laaya",MGT-211,TR,7:30:00 PM,8:59:00 PM,30,30
