No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
109,ECO221Lec2,Principles Of Microeconomics,3,"IP, IP",MGT-202,M,12:00:00 PM,2:59:00 PM,45,20
110,ECO222Lec1,Principles Of Macroeconomics,3,"IP, IP",MGT-201,W,3:00:00 PM,5:59:00 PM,45,40
111,ECO222Lec2,Principles Of Macroeconomics,3,"IP, IP",MGT-201,T,6:00:00 PM,8:59:00 PM,45,17
112,ENG102Lec1,Digital Logic,3,"IP, IP",HUB-118 Robotic Lab,M,1:00:00 PM,2:59:00 PM,24,7
,,,,"IP, IP",MGT-106,T,1:00:00 PM,2:59:00 PM,24,7
113,ENG315Lec1,Control Systems,3,"IP, IP",MGT-106,W,1:00:00 PM,3:59:00 PM,24,4
114,ENG316Lec1,Internet Of Things And Data Science,3,"IP, IP",HUB-114,M,3:00:00 PM,4:59:00 PM,24,0
,,,,"IP, IP",HUB-117 Software Lab,T,1:00:00 PM,2:59:00 PM,24,0
115,ENG316Lec2,Internet Of Things And Data Science,3,"IP, IP",HUB-114,M,3:00:00 PM,4:59:00 PM,24,1
,,,,"Yousefi, Adel",HUB-118 Robotic Lab,T,11:00:00 AM,12:59:00 PM,24,1
116,ENG317Lec1,Digital Signal Processing,3,"IP, IP",MGT-107,T,6:00:00 PM,8:59:00 PM,24,4
117,ENG400PrjEEEE,Graduation Project-1,2,"IP, IP",,N\A,12:00:00 AM,12:00:00 AM,24,3
118,ENG410Lec1,Professional And Ethical Practice,3,"IP, IP",MGT-103,R,6:00:00 PM,8:59:00 PM,32,8
119,ENT141Lec01,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,M,5:00:00 PM,6:59:00 PM,50,11
120,ENT141Lec02,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,W,3:00:00 PM,4:59:00 PM,50,49
121,ENT141Lec03,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,T,7:00:00 PM,8:59:00 PM,50,9
122,ENT141Lec04,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,M,11:00:00 AM,12:59:00 PM,50,37
123,ENT141Lec05,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,R,3:00:00 PM,4:59:00 PM,49,49
124,ENT141Lec06,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,M,1:00:00 PM,2:59:00 PM,50,51
125,ENT141Lec07,Fundamentals Of Innovation And Entrepreneurship 1,2,"IP, IP",MGT-104,R,9:00:00 AM,10:59:00 AM,50,32
126,ENT142Prj1,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,M,7:00:00 PM,8:59:00 PM,30,8
127,ENT142Prj2,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,W,1:00:00 PM,2:59:00 PM,30,23
128,ENT142Prj3,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,T,3:00:00 PM,4:59:00 PM,30,14
129,ENT142Prj4,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,R,7:00:00 PM,8:59:00 PM,30,4
130,ENT142Prj5,Fundamentals Of Innovation And Entrepreneurship 2,1,"IP, IP",Incubator Lab,W,11:00:00 AM,12:59:00 PM,30,13
131,ENT241Lec1,Entrepreneurship I,2,"IP, IP",MGT-104,W,1:00:00 PM,2:59:00 PM,40,39
132,ENT241Lec2,Entrepreneurship I,2,"IP, IP",MGT-104,T,5:00:00 PM,6:59:00 PM,40,33
133,ENT241Lec3,Entrepreneurship I,2,"IP, IP",MGT-104,M,3:00:00 PM,4:59:00 PM,40,39
134,ENT241Lec4,Entrepreneurship I,2,"IP, IP",MGT-104,R,5:00:00 PM,6:59:00 PM,40,19
135,ENT241Lec5,Entrepreneurship I,2,"IP, IP",MGT-104,W,9:00:00 AM,10:59:00 AM,40,35
136,ENT242Prj1,Entrepreneurship 2,1,"IP, IP",Incubator Lab,R,5:00:00 PM,6:59:00 PM,30,16
137,ENT242Prj2,Entrepreneurship 2,1,"IP, IP",Incubator Lab,T,7:00:00 PM,8:59:00 PM,30,20
138,ENT242Prj3,Entrepreneurship 2,1,"IP, IP",Incubator Lab,W,9:00:00 AM,10:59:00 AM,30,30
139,ENT242Prj4,Entrepreneurship 2,1,"IP, IP",Incubator Lab,M,5:00:00 PM,6:59:00 PM,30,12
140,ENT242Prj5,Entrepreneurship 2,1,"IP, IP",Incubator Lab,R,10:00:00 AM,11:59:00 AM,30,10
141,ENV201Lec1,Principles Of Environmental Sciences,3,"IP, IP",MGT-202,W,12:00:00 PM,2:59:00 PM,45,12
142,ENV201Lec2,Principles Of Environmental Sciences,3,"IP, IP",HUB-112,R,9:00:00 AM,11:59:00 AM,42,10
143,ENV310Lec1,Biostatistics,3,"Price, Malcolm",MGT-203,T,1:00:00 PM,2:59:00 PM,32,10
,,,,"Price, Malcolm",General Computer Lab,W,1:00:00 PM,2:59:00 PM,32,10
144,ENV311Lec1,Entomology And Pest Control Management,3,"IP, IP",MGT-103,T,3:00:00 PM,5:59:00 PM,30,3
145,ENV330Lec1,Hydrology And Water Waste Management,3,"IP, IP",MGT-205,M,6:00:00 PM,8:59:00 PM,21,2
146,ENV405Lec1,Toxicology,3,"Al Madhi, Sawsan",MGT-103,R,9:00:00 AM,11:59:00 AM,30,5
147,ENV416Lec1,Epidemiology,3,"Price, Malcolm",MGT-206,T,3:00:00 PM,5:59:00 PM,30,12
148,FIN202Lec1,Principles Of Finance,3,"IP, IP",MGT-201,W,9:00:00 AM,11:59:00 AM,45,10
149,FIN202Lec2,Principles Of Finance,3,"IP, IP",MGT-202,M,3:00:00 PM,5:59:00 PM,45,7
150,FIN310Lec1,Corporate Finance,3,"IP, IP",MGT-204,R,3:00:00 PM,5:59:00 PM,40,35
151,FIN320Lec1,Financial Statement Analysis,3,"IP, IP",MGT-101,M,3:00:00 PM,5:59:00 PM,42,21
152,FIN322Lec1,Financial Markets And Institutions,3,"IP, IP",MGT-107,R,6:00:00 PM,8:59:00 PM,35,27
153,GED101LecE-101,Applications Of Computer Software,3,"IP, IP",MGT-104,T,11:00:00 AM,12:59:00 PM,24,24
,,,,"IP, IP",General Computer Lab,R,10:00:00 AM,11:59:00 AM,24,24
