No.,Course,Course Name,Credits,Instructor,Room,Days,Start Time,End Time,Max Enrollment,Total Enrollment
38,BCS202Lec4,Introduction To Computing Science II,3,"Yousefi, Adel",HUB-117 Software Lab,M,7:00:00 PM,8:59:00 PM,20,9
,,,,"IP, IP",MGT-208,R,3:00:00 PM,4:59:00 PM,20,9
39,BCS202Lec5,Introduction To Computing Science II,3,"IP, IP",HUB-117 Software Lab,M,5:00:00 PM,6:59:00 PM,20,0
,,,,"IP, IP",MGT-209,W,9:00:00 AM,10:59:00 AM,20,0
40,BCS202Lec6,Introduction To Computing Science II,3,"Yousefi, Adel",HUB-118 Robotic Lab,T,1:00:00 PM,2:59:00 PM,20,4
,,,,"IP, IP",MGT-209,W,9:00:00 AM,10:59:00 AM,20,4
41,BCS301Lec1,Operating Systems,4,"Yousefi, Adel",HUB-118 Robotic Lab,W,1:00:00 PM,2:59:00 PM,20,10
,,,,"IP, IP",MGT-204,R,9:00:00 AM,11:59:00 AM,20,10
42,BCS301Lec2,Operating Systems,4,"Yousefi, Adel",HUB-117 Software Lab,M,1:00:00 PM,2:59:00 PM,20,6
,,,,"IP, IP",MGT-204,R,9:00:00 AM,11:59:00 AM,20,6
43,BCS301Lec3,Operating Systems,4,"IP, IP",HUB-114,W,9:00:00 AM,11:59:00 AM,19,7
,,,,"Seyam, Ahmed",HUB-118 Robotic Lab,R,3:00:00 PM,4:59:00 PM,19,7
44,BCS301Lec4,Operating Systems,4,"IP, IP",HUB-114,W,9:00:00 AM,11:59:00 AM,20,10
,,,,"Yousefi, Adel",HUB-117 Software Lab,R,5:00:00 PM,6:59:00 PM,20,10
45,BCS303Lec1,Security Principles And Practices,4,"Seyam, Ahmed",HUB-118 Robotic Lab,T,7:00:00 PM,8:59:00 PM,20,15
,,,,"IP, IP",MGT-204,W,3:00:00 PM,5:59:00 PM,20,15
46,BCS303Lec2,Security Principles And Practices,4,"Seyam, Ahmed",HUB-118 Robotic Lab,M,3:00:00 PM,4:59:00 PM,20,3
,,,,"IP, IP",MGT-204,W,3:00:00 PM,5:59:00 PM,20,3
47,BCS303Lec3,Security Principles And Practices,4,"IP, IP",HUB-114,T,9:00:00 AM,11:59:00 AM,20,7
,,,,"Seyam, Ahmed",HUB-117 Software Lab,R,7:00:00 PM,8:59:00 PM,20,7
48,BCS303Lec4,Security Principles And Practices,4,"IP, IP",HUB-114,T,9:00:00 AM,11:59:00 AM,20,3
,,,,"Seyam, Ahmed",HUB-117 Software Lab,W,1:00:00 PM,2:59:00 PM,20,3
49,BCS304Lec1,Data Mining,3,"IP, IP",HUB-107,M,6:00:00 PM,8:59:00 PM,50,20
50,BCS305Lec1,Software Architecture,3,"IP, IP",HUB-111,W,6:00:00 PM,8:59:00 PM,40,19
51,BCS306Lec1,Database Management Systems,3,"IP, IP",MGT-203,T,11:00:00 AM,12:59:00 PM,20,18
,,,,"IP, IP",HUB-118 Robotic Lab,T,3:00:00 PM,4:59:00 PM,20,18
52,BCS311Lec1,Scientific Computing,3,"IP, IP",MGT-204,T,7:00:00 PM,8:59:00 PM,20,5
,,,,"IP, IP",HUB-118 Robotic Lab,W,3:00:00 PM,4:59:00 PM,20,5
